distance	implementation	k	mode	under_target_hits	target_size_hits	states	runtime_seconds
2	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	175716	44.79
3	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	1170914	317.99
4	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	941995	250.06
5	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	1226848	335.96
6	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	647773	171.88
7	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	1046720	289.59
8	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	538653	142.15
9	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	583170	158.74
10	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	1282548	307.47
11	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	513278	160.35
12	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	836371	206.65
13	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	379909	97.95
14	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	840359	216.44
15	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	685138	178.53
16	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	1452407	368.05
17	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	1586118	389.77
18	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	948834	241.34
19	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	1794247	450.62
20	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	268916	81.72
21	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	1181803	303.11
TOTAL	independent_intmask_dedupe_maxincidence	14	up_to_k	0	0	18101717	4713.16
